SMILES,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50
N#Cc1cccc(CN2CCN(C(=O)CCl)CC2)c1,MAT-POS-ee51dedd-1,MAT-POS-ee51dedd-1,64.3036339317386,,,53.37036,85.20008,19.6916117921927,4.7057187346589,80.43604,-1.2112405,1.14557737866286,0.982091029917936,1.01,0.99,
O=C(CCl)N1CCN(S(=O)(=O)c2ccsc2)CC1,MAT-POS-ee51dedd-2,MAT-POS-ee51dedd-2,96.3562387315272,,,78.55136,73.74619,1.63084331612158,5.78758776195943,94.828805,30.319765,1.20374524450755,0.982490034879469,1.0,1.0,99.0
O=C(CCl)N1CCCc2cc(NCc3ccc(F)cc3Cl)ccc21,MAT-POS-ee51dedd-3,MAT-POS-ee51dedd-3,47.9307129845693,,,25.303,52.54101,19.2632619727773,4.71527016908974,80.277775,-3.13630485,1.19001584215807,0.971671609668919,0.81,0.39,51.7572633566913
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,EDJ-MED-78f964c8-1,MAT-POS-916a2c5a-4,66.63,78.785,,,54.07172,27.5248950634011,4.56027432806821,77.02485,1.3602075,1.00107335123765,0.968806264034523,1.0,1.0,99.03
CS(=O)(=O)Nc1cccc(C(=O)Nc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-1e8f9e3c-1,MAK-UNK-9159f8ed-6,0.0,,,0.8660925,5.1890295,,,,,,,1.0,0.99,
Cc1ccncc1NC(=O)Nc1cccc(Cl)c1,JAG-UCB-cedd89ab-8,TRY-UNI-714a760b-12,25.5825,64.135,,32.14497,58.708675,64.4136105144302,4.19102235706909,60.1574,2.1642895,0.989723734379618,0.985751105737583,0.99,0.96,99.0
O=C(CCl)N1CCN(S(=O)(=O)C2=CC[SH]=C2)CC1,MAK-UNK-d4768348-1,MAK-UNK-d4768348-1,96.3562387315272,,,78.55136,73.74619,1.63084331612158,5.78758776195943,94.828805,30.319765,1.20374524450755,0.982490034879469,1.0,1.0,99.0
C=CC(=O)N1CCN(Cc2c[nH]c3ccc(C#N)cc23)CC1,MAT-POS-2db6411e-1,MAT-POS-2db6411e-1,0.0,0.0,,-36.21916,-27.06263,,,,,,,0.97,0.92,
O=C(CCl)N1CCN(Cc2cc(O)cc(Cl)c2)CC1,MAT-POS-2db6411e-2,MAT-POS-2db6411e-2,92.7299912844281,98.8615965175399,2.097,74.96829,89.51881,12.91844908314,4.88878962218181,89.49559,-3.2723834,1.39670073691104,0.987571052551391,,,99.0
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,MAK-UNK-7a704a63-10,LON-WEI-8f408cad-1,,,,27.11235,51.42713,70.328583055413,4.15286813244319,57.50123,-7.6242005,1.25904240651616,0.943139826441702,1.0,1.0,49.5
O=C(CCl)N1CCN(Cc2ccsc2)CC1,MAK-UNK-212f693e-8,LON-WEI-8f408cad-7,,,,98.779325,99.437475,3.49772002955534,5.45621495600238,99.06542,14.36301,1.28817826725499,0.996357073318457,1.0,0.99,99.0
N#CCN1CCN(Cc2cc(Cl)cc3ccccc23)CC1,MAT-POS-4e253971-1,MAT-POS-4e253971-1,10.3525579087545,10.1704236081767,,,5.54785,,,,,,,0.91,0.92,
C=CC(=O)N1CCN(Cc2cc(Cl)cc3ccccc23)CC1,MAT-POS-4e253971-2,MAT-POS-4e253971-2,0.0,0.0,,,37.9037,,,,,,,0.86,0.75,
COc1ccc2nc(C)cc(C(=O)NN)c2c1,MAT-POS-4e253971-3,MAT-POS-4e253971-3,0.0,0.0,,,22.15177,,,,,,,1.0,1.0,
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,AAR-POS-d2a4d1df-22,LON-WEI-8f408cad-3,97.8875,97.79,,99.2957,99.55992,2.16182906157181,5.66517864921299,99.409745,23.85637,1.36071902231302,0.993504938578412,1.0,1.0,99.0
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,AAR-POS-d2a4d1df-23,LON-WEI-8f408cad-4,96.62,96.84,,97.289005,103.54665,4.55048873816837,5.34194195611417,99.85243,13.280865,1.3230822523249,0.991878558601822,1.0,1.0,99.0
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,AAR-POS-d2a4d1df-32,LON-WEI-8f408cad-2,98.6225,99.205,,98.65946,103.96275,3.2845112447793,5.48352924695279,97.39301,14.90408,1.43018608040716,0.989646001332796,0.96,0.88,99.0
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1,AAR-POS-d2a4d1df-35,MED-COV-4280ac29-15,99.8384868979829,100.423677336878,0.5438,,108.2425,3.13741398194606,5.50342817234063,99.02312,10.040808,1.32852989557444,0.983892164020482,1.0,1.0,99.03
O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1,AAR-POS-d2a4d1df-40,MED-COV-4280ac29-31,100.021070736765,100.423677336878,0.8953,,98.5734,5.76179265691728,5.23944237423625,96.723135,10.955853,1.22147023077134,0.976013787151378,0.99,0.98,99.03
Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,AAR-POS-0daf6b7e-3,WAR-XCH-79d12f6e-6,90.8478520270466,96.2866818206516,1.589,,101.1492,14.2164854520191,4.84720775504424,91.04736,-6.39297565,1.33415205340071,0.951398970593667,0.99,0.98,99.03
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,AAR-POS-0daf6b7e-9,VIR-GIT-7b3d3065-2,0.5059063955,,,18.47409,31.38461,,,,,,,1.0,1.0,
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,AAR-POS-0daf6b7e-11,LON-WEI-8f408cad-1,,,,27.11235,51.42713,70.328583055413,4.15286813244319,57.50123,-7.6242005,1.25904240651616,0.943139826441702,1.0,1.0,49.5
O=C(CCl)N1CCN(Cc2ccsc2)CC1,AAR-POS-0daf6b7e-13,LON-WEI-8f408cad-7,,,,98.779325,99.437475,3.49772002955534,5.45621495600238,99.06542,14.36301,1.28817826725499,0.996357073318457,1.0,0.99,99.0
O=C(CCl)N1CCN(Cc2cccs2)CC1,AAR-POS-0daf6b7e-17,LON-WEI-8f408cad-5,,,,94.48812,98.998055,6.19210917827055,5.20816139484738,97.83571,8.6571565,1.23041939994132,0.995005972303825,1.0,1.0,99.0
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,AAR-POS-0daf6b7e-19,VIR-GIT-7b3d3065-3,-0.097614029,,,17.262575,38.7793,,,,,,,1.0,1.0,
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-d1c9908a-1,LON-WEI-d1c9908a-1,0.0,10.115,,,-13.51298,,,,,,,1.0,1.0,
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-d1c9908a-2,LON-WEI-d1c9908a-2,0.0,-0.67,,,-9.807806,,,,,,,0.95,0.56,
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-d1c9908a-3,LON-WEI-d1c9908a-3,0.0,-2.25,,,22.44898,99.03,,45.999755,-11.042415,1.5149924022145,0.451917751233216,0.97,0.57,
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-d1c9908a-4,LON-WEI-d1c9908a-4,0.0,0.0,,,6.082821,,,,,,,1.0,0.52,
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-d1c9908a-5,LON-WEI-d1c9908a-5,0.0,0.0,,,12.60155,,,,,,,0.96,0.62,
